;;ICAS Method;;;LRGP Method;;
num;SMILES;Tc[k];Pc[bar];omega[-];Tc[k];Pc[bar];omega[-]
273;ON=C1C=CC(=NO)C=C1;914.45;41.3;1.349;884.67;51.74;0.95
274;COc1ccc(CO)cc1;701.05;37.59;0.775;760.36;36.90;0.73
275;NCCc1n[nH]cc1;744.73;35.79;0.365;778.82;44.79;0.76
276;CCCC1OC(CC1)=O;744.73;35.79;0.365;673.08;35.60;0.46
277;OCC=C(C)C#C;621.02;40.55;0.77;625.78;41.66;0.71
278;CCCC(C)CO;598.64;34.06;0.677;599.28;34.60;0.51
279;CCCC(O)C#C;599.15;40.25;0.737;585.22;36.67;0.64
280;COC(CC#N)=O;716.58;38.55;0.52;687.07;38.30;0.54
281;CCOC(CBr)=O;602.68;41.98;0.381;661.40;43.61;0.42
282;CCOC(CC)=O;550.15;34.65;0.387;546.05;33.87;0.39
283;CCC(OC=C)=O;553.26;36.73;0.377;546.51;37.09;0.38
284;CCOC(CCl)=O;595.59;38.24;0.41;618.03;37.91;0.39
285;CCOC(=O)NC;741.83;40.99;0.508;638.59;40.74;0.51
286;CCC(C)CC(N)C;589.49;28.18;0.458;584.89;29.21;0.48
287;CCC(C)CC(C)=O;605.83;29.62;0.425;598.23;29.90;0.39
288;CCC(C)CC(O)=O;708.01;33.55;0.677;651.12;34.40;0.70
289;COC(CC(C)=O)=O;632.81;37.03;0.556;652.20;38.89;0.55
290;CCC(C)OC(C)=O;558.53;30.91;0.399;560.82;31.68;0.40
291;CC(C)OC(CCl)=O;612.01;34.02;0.427;612.53;32.72;0.38
292;CCOC(CC(OCC)=O)=O;653.28;27.94;0.655;653.03;28.51;0.62
293;CCOC(CCC)=O;577.07;30.91;0.431;570.80;29.50;0.40
294;CCNC(=S)NCC;588.2;34.64;0.573;749.95;35.32;0.42
295;CCOC(CC#N)=O;730.08;34.05;0.571;679.58;33.44;0.59
296;CCOC(C)OCC;547.9;29.09;0.448;539.59;31.29;0.49
297;CCOC(OCC)=O;590.38;36.66;0.477;576.14;33.89;0.49
298;OCCN(C)CCO;678.16;39.18;1.092;735.88;40.64;0.68
299;O=C1NCCCCC1;770.7;47.86;0.392;790.48;45.02;0.52
300;CCCOC(CCC)=O;601.18;27.85;0.474;594.21;27.17;0.43
301;Cc(ccc1O)cc1C;719.57;43.14;0.495;707.31;44.27;0.51
302;CC(C)CCOC(CC)=O;617.22;25.45;0.502;603.60;25.54;0.52
303;CCCCOC(=O)C=CC(OCCCC)=O;733.58;19.04;0.849;715.60;20.00;0.90
304;NCCCN(C)CCCN;741.45;29.28;0.702;698.57;27.69;0.70
305;O=C1OCCOC(CCCCCCCCCCC1)=O;927.58;23.89;0.857;790.80;18.81;0.92
306;OCCCCCc1ccccc1;731.18;28.2;0.826;745.78;28.39;0.78
307;CCCCCCCCCC(C)CO;707.4;19.7;0.922;671.61;19.55;1.00
308;CNc1ccc(C(O)=O)cc1;814.24;41.15;0.9;837.76;39.95;0.87
309;ClSCl;579.28;58.82;0.204;521.33;67.60;0.19
310;c(ccc12)cc2cc2ccccc2c1c1c2ccccc2cc2ccccc12;1039.65;17.56;0.823;981.39;17.68;0.81
311;O=NN1CC=CC1;707.98;66.06;0.586;736.87;47.10;0.42
312;CCCC(C)=CC;543.19;28.2;0.364;548.82;28.63;0.31
313;CCC(C)=C(C)C;553.41;28.31;0.278;564.39;28.60;0.22
314;CCN(C)N=O;510.67;42.94;0.428;669.68;38.15;0.40
315;CC(=O)c1cc(C)oc1C;680.86;31.79;0.581;682.56;36.55;0.42
316;O=C1CCCCCCCCCCCCCCO1;862.76;22.4;0.728;751.92;20.74;0.83
317;CCCCCCC(O)CCCCCCCCCCC(O)=O;861.43;14.49;1.484;837.11;15.10;1.09
